Repondant,Formation_accompagnee,Etudiants_ont_utilise,A_aide_etudiants,Enseignant_a_consulte,Nombre_taches_adapte,Taches_bien_decrites,Taches_pertinentes,Note_recommandation_5,Taches_manquantes,Taches_inutiles_ou_a_ameliorer,Observations
Enseignant_1,DNMade,Oui la plupart semblaient s'en servir,Oui vraiment,Oui réguilèrement,C'est bien dosé,Parfois oui. Parfois non.,Oui elle correspondent bien,5,Ajouter en début de projet un aspect communication pour le faire créer une mailling list et les faire tenir une newsletter ou documentation de l’évolution de leur projet. ,Mieux définir les livrables de la phase 3 pour les exchanges et le Year groupe qui doit livrer 2 semaines avant leurs projets. insister plus tôt sur la partie économic → C5.4,"Pour des étudiants perdu en début de phase, c'est un support essentiel"
Enseignant_2,UX Service,Très peu ou pas du tout,,Non je ne l'ai pas utilisé,Je n'ai pas d'avis,,Je n'ai pas suffisamment consulté le tableau pour juger,3,,,
